,Data,Positivi,Positivi (previsione scenario 1),Positivi (previsione scenario 2),Ospedalizzati,Ospedalizzati (previsione scenario 1),Ospedalizzati (previsione scenario 2),Terapia Intensiva,Terapia Intensiva (previsione scenario 1),Terapia Intensiva (previsione scenario 2),Decessi giornalieri,Decessi giornalieri (previsione scenario 1),Decessi giornalieri (previsione scenario 2)
110,2021-01-24,,108986.21128635516,180255.3260978146,,8164.032883298896,13502.7210532693,,907.1379289675208,1500.3406510949017,,168.13910467751995,278.0899417065564
111,2021-01-25,,104994.34245735507,175739.19352487774,,7873.878204007328,13179.272074087132,,875.3777863575898,1465.204530106554,,162.264447469422,271.59771153972775
112,2021-01-26,,101132.91985721163,171315.67889605247,,7592.619929419011,12861.636345955481,,844.55953989045,1430.6547378316675,,156.56319480337314,265.21265326605885
113,2021-01-27,,97398.53688589249,166984.02795094927,,7320.064043044101,12549.816638400258,,814.6648091539635,1396.6946076591842,,151.03202460441636,258.93546889291366
114,2021-01-28,,93787.82162388688,162743.41914166807,,7056.015691972106,12243.808410796239,,785.6749491372026,1363.3265528792163,,145.66754834887874,252.76666485921413
115,2021-01-29,,90297.44015631329,158592.9682127972,,6800.27957728975,11943.600183707355,,757.5711013794386,1330.5521108020348,,140.4663516743482,246.70661324943407
116,2021-01-30,,86924.10060601521,154531.73441069372,,6552.66039912379,11649.174042886738,,730.3342495119207,1298.3719991323035,,135.4249695575796,240.75550143569708
117,2021-01-31,,83664.5556167031,150558.7243852653,,6312.963186893133,11360.505981340724,,703.9452626077659,1266.786155667055,,130.53993061189252,234.91340256809778
118,2021-02-01,,80515.60605603506,146672.89861675008,,6080.993709875011,11077.56641956915,,678.3849472092173,1235.793797737784,,125.8077203742264,229.1802039322815
119,2021-02-02,,77474.10288504262,142873.17494499902,,5856.558752043283,10800.320519979708,,653.6340834078716,1205.393457570148,,121.22483344194389,223.55569398110475
120,2021-02-03,,74536.94887614934,139158.43207611368,,5639.466372533107,10528.728502848506,,629.6734598634815,1175.583019102922,,116.78777706032795,218.0395654291444
121,2021-02-04,,71701.10060491288,135527.51386015327,,5429.526181864656,10262.746020056316,,606.4839111729398,1146.3597627372908,,112.49306126390071,212.63139325604357
122,2021-02-05,,68963.57131588255,131979.23554857713,,5226.5496712442755,10002.324662218069,,584.0463599265819,1117.7204230762793,,108.33716753771287,207.33057004303564
123,2021-02-06,,66321.43090335671,128512.38491143973,,5030.350336697181,9747.412109534256,,562.3418368243157,1089.661209075554,,104.31663882707116,202.1364717107407
124,2021-02-07,,63771.80753115839,125125.72662511645,,4840.743913896416,9497.95251352188,,541.3515120741149,1062.177848334993,,100.42802537558545,197.04835310659894
125,2021-02-08,,61311.88868309909,121818.00583033905,,4657.5485678359455,9253.886819965564,,521.0567219492164,1035.265625569351,,96.66790075123224,192.0653750887685
126,2021-02-09,,58938.92152321437,118587.95053466025,,4480.585027930644,9015.153008005032,,501.4389893330707,1008.919412272564,,93.03288205817503,187.18664221343656
127,2021-02-10,,56650.21372374409,115434.27510901442,,4309.676750218804,8781.686403544272,,482.4800448107877,983.133700057948,,89.51961400019864,182.4111697185093
128,2021-02-11,,54443.13362147268,112355.68262078433,,4144.650031053123,8553.419917026298,,464.16184500335385,957.9026311098627,,86.12478720475751,177.73791869217115
129,2021-02-12,,52315.11051822713,109350.8675974315,,3985.334121919139,8330.284301811203,,446.4665908979257,933.2200311599411,,82.84513175280202,173.16578219281607
130,2021-02-13,,50263.63476402824,106418.5184904239,,3831.5613252467,8112.208391856481,,429.37674359049225,909.0794396716408,,79.67742253783992,168.69359534819475
131,2021-02-14,,48286.25756591849,103557.31968539754,,3683.167069492211,7899.119312558769,,412.87503629980466,885.4741344542982,,76.61848705094883,164.32015147404752
132,2021-02-15,,46380.590904573044,100765.95384343789,,3539.989985941316,7690.942710573013,,396.94448745991014,862.3971605727997,,73.66519938930533,160.04418953615578
133,2021-02-16,,44544.30716162112,98043.10372705082,,3401.871960974743,7487.602946114704,,381.5684111016798,839.8413555490238,,70.81448858129986,155.86441212708635
134,2021-02-17,,42775.13867905206,95387.45395354505,,3268.6581775083514,7289.023274392009,,366.73042272979495,817.7993664491294,,68.06334043885069,151.77949043599006
135,2021-02-18,,41070.877386664004,92797.69297404007,,3140.1971583757672,7095.126043631298,,352.4144452888677,796.2636684297363,,65.40879464916738,147.78805883573284
