,date,variable,Germany,Israel,Italy,Spain,United Kingdom,United States
239,21-01-2021,Totale vaccinazioni ogni cento abitanti,1.98,38.64,2.28,2.36,8.58,5.22
240,22-01-2021,Vaccinazioni giornaliere,92607.0,167295.0,39274.0,56696.0,329466.0,975540.0
241,22-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1104,1.9033,0.0651,0.1213,0.483,0.2901
242,22-01-2021,total_boosters,1.0,,,,,
243,22-01-2021,total_boosters_per_hundred,0.0,,,,,
244,22-01-2021,Totale vaccinazioni,1761686.0,3504850.0,1400845.0,1165825.0,6329968.0,19107959.0
245,22-01-2021,Totale vaccinazioni ogni cento abitanti,2.1,39.87,2.32,2.49,9.28,5.68
246,23-01-2021,Vaccinazioni giornaliere,96737.0,172727.0,35511.0,55680.0,357218.0,1057387.0
247,23-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1153,1.9651,0.0588,0.1191,0.5237,0.3144
248,23-01-2021,total_boosters,1.0,,,,,
249,23-01-2021,total_boosters_per_hundred,0.0,,,,,
250,23-01-2021,Totale vaccinazioni,1848616.0,3598224.0,1440061.0,,6822981.0,20537990.0
251,23-01-2021,Totale vaccinazioni ogni cento abitanti,2.2,40.94,2.39,,10.0,6.11
252,24-01-2021,Vaccinazioni giornaliere,96745.0,180821.0,35022.0,54664.0,361321.0,1122182.0
253,24-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1153,2.0572,0.058,0.1169,0.5297,0.3337
254,24-01-2021,total_boosters,1.0,,,,,
255,24-01-2021,total_boosters_per_hundred,0.0,,,,,
256,24-01-2021,Totale vaccinazioni,1896405.0,3807665.0,1474014.0,1237593.0,7044048.0,21848655.0
257,24-01-2021,Totale vaccinazioni ogni cento abitanti,2.26,43.32,2.44,2.65,10.33,6.5
258,25-01-2021,Vaccinazioni giornaliere,97896.0,185132.0,38599.0,56182.0,371761.0,1126251.0
259,25-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1167,2.1062,0.0639,0.1202,0.545,0.3349
260,25-01-2021,total_boosters,1.0,,,,,
261,25-01-2021,total_boosters_per_hundred,0.0,,,,,
262,25-01-2021,Totale vaccinazioni,1987296.0,4027711.0,1543428.0,1291216.0,7325773.0,22734243.0
263,25-01-2021,Totale vaccinazioni ogni cento abitanti,2.37,45.82,2.56,2.76,10.74,6.76
264,26-01-2021,Vaccinazioni giornaliere,94844.0,184333.0,45365.0,55766.0,366883.0,1119058.0
265,26-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.113,2.0971,0.0751,0.1193,0.5379,0.3327
266,26-01-2021,total_boosters,1.0,,,,,
267,26-01-2021,total_boosters_per_hundred,0.0,,,,,
268,26-01-2021,Totale vaccinazioni,2085455.0,4232422.0,1624090.0,1356461.0,7638543.0,23540994.0
269,26-01-2021,Totale vaccinazioni ogni cento abitanti,2.49,48.15,2.69,2.9,11.2,7.0
270,27-01-2021,Vaccinazioni giornaliere,91529.0,181821.0,51050.0,52812.0,359424.0,1161050.0
271,27-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1091,2.0686,0.0846,0.113,0.527,0.3452
272,27-01-2021,total_boosters,1.0,,,,,
273,27-01-2021,total_boosters_per_hundred,0.0,,,,,
274,27-01-2021,Totale vaccinazioni,2194753.0,4434973.0,1695068.0,1395618.0,7953250.0,24652634.0
275,27-01-2021,Totale vaccinazioni ogni cento abitanti,2.62,50.46,2.81,2.99,11.66,7.33
276,28-01-2021,Vaccinazioni giornaliere,89676.0,178380.0,59293.0,52984.0,359934.0,1235330.0
277,28-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1069,2.0294,0.0982,0.1133,0.5277,0.3673
278,28-01-2021,total_boosters,1.0,,,,,
279,28-01-2021,total_boosters_per_hundred,0.0,,,,,
280,28-01-2021,Totale vaccinazioni,2287186.0,4644777.0,1788924.0,1474189.0,8369438.0,26193682.0
281,28-01-2021,Totale vaccinazioni ogni cento abitanti,2.73,52.84,2.96,3.15,12.27,7.79
282,29-01-2021,Vaccinazioni giornaliere,90444.0,177304.0,69527.0,50484.0,361343.0,1253815.0
283,29-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1078,2.0172,0.1152,0.108,0.5298,0.3728
284,29-01-2021,total_boosters,1.0,,,,,
285,29-01-2021,total_boosters_per_hundred,0.0,,,,,
286,29-01-2021,Totale vaccinazioni,2394797.0,4745978.0,1887531.0,,8859372.0,27884661.0
287,29-01-2021,Totale vaccinazioni ogni cento abitanti,2.85,53.99,3.13,,12.99,8.29
